"Id","Name","Description","Address","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"arnold-arboretum-horticultural-library","Arnold Arboretum Horticultural Library","Botany, plant sciences, urban forestry, Eastern Asia","125 Arborway, Jamaica Plain, MA 02130","Closed","Closed","10am - 4pm","10am - 4pm","10am - 4pm","10am - 4pm","Closed"
"baker-library-and-special-collections","Baker Library and Special Collections","Harvard Business School","Soldiers Field Road, Boston, MA 02163","12pm - 7pm","9am - 7pm","9am - 7pm","9am - 7pm","9am - 7pm","9am - 5pm","Closed"
"botany-libraries","Botany Libraries",,"22 Divinity Avenue, Cambridge, MA 02138","Closed","9am - 1pm. 2pm - 5pm","9am - 1pm. 2pm - 5pm","9am - 1pm. 2pm - 5pm","9am - 1pm. 2pm - 5pm","9am - 1pm. 2pm - 5pm","Closed"
"cabot-science-library","Cabot Science Library",,"1 Oxford Street, Cambridge, MA 02138","10am - 12am","24 Hours","24 Hours","24 Hours","24 Hours","12am - 10pm","12pm - 10pm"
"countway-library","Countway Library","Harvard Longwood Campus","10 Shattuck Street, Boston, MA 02115","12pm - 6:30pm","8am - 12am","8am - 12am","8am - 12am","8am - 12am","8am - 6pm","10am - 6pm"
"ernst-mayr-library","Ernst Mayr Library","Museum of Comparative Zoology","26 Oxford Street, Cambridge, MA 02138","Closed","9am - 5pm","9am - 5pm","9am - 5pm","9am - 5pm","9am - 5pm","Closed"
"fine-arts-library","Fine Arts Library",,"1805 Cambridge Street, Cambridge, MA 02138","12pm - 5pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 5pm","12pm - 5pm"
"frances-loeb-library","Frances Loeb Library","Harvard Graduate School of Design","48 Quincy Street, Cambridge, MA 02138","12pm - 5pm","9am - 10pm","9am - 10pm","9am - 10pm","9am - 10pm","9am - 6pm","12pm - 5pm"
"fung-library","Fung Library",,"1737 Cambridge Street, Cambridge, MA 02138","12pm - 5pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 5pm","Closed"
"gutman-library","Gutman Library","Harvard Graduate School of Education","6 Appian Way, Cambridge, MA 02138","1pm - 9pm","9am - 9pm","9am - 9pm","9am - 9pm","9am - 9pm","9am - 5pm","Closed"
"harvard-divinity-school-library","Harvard Divinity School Library",,"45 Francis Avenue, Cambridge, MA 02138","12pm - 5pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 5pm","12pm - 5pm"
"harvard-law-school-library","Harvard Law School Library",,"1545 Massachusetts Avenue, Cambridge, MA 02138","10am - 11pm","8:30am - 11pm","8:30am - 11pm","8:30am - 11pm","8:30am - 11pm","8:30am - 7pm","9am - 7pm"
"harvard-yenching-library","Harvard-Yenching Library","哈佛燕京圖書館 | ハーバード燕京図書館 | 하버드 옌칭 도서관 | Sưu tập tài liệu tiếng Việt","2 Divinity Avenue, Cambridge, MA 02138","12pm - 5pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 5pm","12pm - 5pm"
"hks-library-and-research-services","HKS Library and Research Services","Harvard Kennedy School","79 JFK Street, Cambridge, MA 02138","7am - 11pm","7am - 11pm","7am - 11pm","7am - 11pm","7am - 11pm","7am - 11pm","7am - 11pm"
"houghton-library","Houghton Library",,"Harvard Yard, Cambridge, MA 02138","Closed","10am - 5pm","10am - 5pm","10am - 5pm","10am - 5pm","10am - 5pm","Closed"
"lamont-library","Lamont Library",,"1 Harvard Yard, Cambridge, MA 02138","Open from 10am","24 Hours","24 Hours","24 Hours","24 Hours","Open until 10pm","11am - 10pm"
"loeb-music-library","Loeb Music Library",,"3 Oxford Street, Cambridge, MA 02138","12pm - 5pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 5pm","12pm - 5pm"
"robbins-library-of-philosophy","Robbins Library of Philosophy",,"25 Quincy Street, Cambridge, MA 02138","Closed","9am - 8pm","9am - 8pm","9am - 8pm","9am - 8pm","9am - 5pm",
"schlesinger-library","Schlesinger Library on the History of Women in America","Radcliffe Institute for Advanced Study","3 James Street, Cambridge, MA 02138","Closed","Gallery 9am - 5pm","Gallery 9am - 5pm","Gallery 9am - 5pm","Gallery 9am - 5pm","Gallery 9am - 5pm","Closed"
"science-engineering-complex-library","Science & Engineering Complex Library",,"150 Western Ave, Allston, MA 02134","Closed","7am - 7pm","7am - 7pm","7am - 7pm","7am - 7pm","7am - 7pm","Closed"
"tozzer-library","Tozzer Library",,"21 Divinity Avenue, Cambridge, MA 02138","Closed","9am - 5pm","9am - 5pm","9am - 5pm","9am - 5pm","9am - 5pm","Closed"
"widener-library","Widener Library",,"1 Harvard Yard, Cambridge, MA 02138","12pm - 8pm","9am - 10pm","9am - 10pm","9am - 10pm","9am - 10pm","9am - 7pm","9am - 5pm"
"woodberry-poetry-room","Woodberry Poetry Room","One of the largest collections of literary AV recordings in the United States","11 Quincy Street, Cambridge, MA 02138","Closed","10am - 10pm","10am - 10pm","10am - 10pm","10am - 10pm","10am - 10pm","Closed"
